Carteira do Dia,Setor,Código,Ação,Tipo,Qtde_Teórica,Part_(%),Part_(%)_Acum
15/07/24,Bens Indls / Máqs e Equips,WEGE3,WEG,ON NM,1482105837,3.211,3.211
15/07/24,Bens Indls / Mat Transporte,EMBR3,EMBRAER,ON NM,734632601,1.396,1.396
15/07/24,Bens Indls/Transporte,AZUL4,AZUL,PN N2,332825777,0.139,2.060
15/07/24,Bens Indls/Transporte,CCRO3,CCR SA,ON NM,995335937,0.610,2.060
15/07/24,Bens Indls/Transporte,RAIL3,RUMO S.A.,ON NM,1218352541,1.311,2.060
15/07/24,Cons N Básico / Alimentos Processados,BRFS3,BRF SA,ON NM,835221269,0.886,3.100
15/07/24,Cons N Básico / Alimentos Processados,JBSS3,JBS,ON NM,1134986472,1.720,3.100
15/07/24,Cons N Básico / Alimentos Processados,MRFG3,MARFRIG,ON NM,331799687,0.192,3.100
15/07/24,Cons N Básico / Alimentos Processados,BEEF3,MINERVA,ON NM,261036182,0.084,3.100
15/07/24,Cons N Básico / Alimentos Processados,SMTO3,SAO MARTINHO,ON NM,142348116,0.218,3.100
15/07/24,Cons N Cíclico / Bebidas,ABEV3,AMBEV S/A,ON ATZ,4394245879,2.415,2.415
15/07/24,Cons N Cíclico / Comércio Distr.,ASAI3,ASSAI,ON NM,1349217892,0.716,1.045
15/07/24,Cons N Cíclico / Comércio Distr.,CRFB3,CARREFOUR BR,ON NM,533990587,0.269,1.045
15/07/24,Cons N Cíclico / Comércio Distr.,PCAR3,P.ACUCAR-CBD,ON NM,379400826,0.060,1.045
15/07/24,Cons N Cíclico / Pr Pessoal Limp,NTCO3,GRUPO NATURA,ON NM,849346756,0.640,0.640
15/07/24,Cons N Ciclico/Agropecuária,SLCE3,SLC AGRICOLA,ON NM,194217908,0.175,0.175
15/07/24,Consumo Cíclico / Comércio,ARZZ3,AREZZO CO,ON ED NM,62305891,0.160,1.212
15/07/24,Consumo Cíclico / Comércio,SOMA3,GRUPO SOMA,ON NM,496029967,0.152,1.212
15/07/24,Consumo Cíclico / Comércio,LREN3,LOJAS RENNER,ON NM,951452770,0.609,1.212
15/07/24,Consumo Cíclico / Comércio,MGLU3,MAGAZ LUIZA,ON NM,351757412,0.230,1.212
15/07/24,Consumo Cíclico / Comércio,PETZ3,PETZ,ON NM,314729428,0.061,1.212
15/07/24,Consumo Cíclico / Tecid Vest Calç,ALPA4,ALPARGATAS,PN N1,166362038,0.073,0.210
15/07/24,Consumo Cíclico / Tecid Vest Calç,VIVA3,VIVARA S.A.,ON NM,125912025,0.137,0.210
15/07/24,Consumo Cíclico/Constr Civil,CYRE3,CYRELA REALT,ON NM,265784616,0.254,0.438
15/07/24,Consumo Cíclico/Constr Civil,EZTC3,EZTEC,ON NM,91514307,0.061,0.438
15/07/24,Consumo Cíclico/Constr Civil,MRVE3,MRV,ON NM,375130280,0.123,0.438
15/07/24,Consumo Cíclico/Viagens e Lazer,CVCB3,CVC BRASIL,ON NM,525582771,0.052,0.052
15/07/24,Diversos,COGN3,COGNA ON,ON NM,1814903540,0.162,2.443
15/07/24,Diversos,RENT3,LOCALIZA,ON NM,863138188,1.903,2.443
15/07/24,Diversos,VAMO3,VAMOS,ON NM,498860020,0.216,2.443
15/07/24,Diversos,YDUQ3,YDUQS PART,ON NM,289347914,0.162,2.443
15/07/24,Financ e Outros / Explor Imóveis,ALOS3,ALLOS,ON NM,532616595,0.556,1.095
15/07/24,Financ e Outros / Explor Imóveis,IGTI11,IGUATEMI S.A,UNT N1,217622138,0.226,1.095
15/07/24,Financ e Outros / Explor Imóveis,MULT3,MULTIPLAN,ON N2,268505432,0.313,1.095
15/07/24,Financ e Outros / Holdings Divers,ITSA4,ITAUSA,PN N1,5560910983,2.680,2.680
15/07/24,Financ e Outros / Interms Financs,BBDC3,BRADESCO,ON N1,1489259656,0.813,17.194
15/07/24,Financ e Outros / Interms Financs,BBDC4,BRADESCO,PN N1,5135772281,3.065,17.194
15/07/24,Financ e Outros / Interms Financs,BBAS3,BRASIL,ON NM,2842247534,3.600,17.194
15/07/24,Financ e Outros / Interms Financs,BPAC11,BTGP BANCO,UNT EJ N2,1150645866,1.767,17.194
15/07/24,Financ e Outros / Interms Financs,ITUB4,ITAUUNIBANCO,PN N1,4740126023,7.489,17.194
15/07/24,Financ e Outros / Interms Financs,SANB11,SANTANDER BR,UNT,342918449,0.460,17.194
15/07/24,Financ e Outros / Previd Seguros,BBSE3,BBSEGURIDADE,ON NM,671750768,1.077,1.199
15/07/24,Financ e Outros / Previd Seguros,IRBR3,IRBBRASIL RE,ON NM,81838843,0.122,1.199
15/07/24,Financeiro e Outros/Serviços Financeiros Diversos,B3SA3,B3,ON NM,5602790110,3.045,3.341
15/07/24,Financeiro e Outros/Serviços Financeiros Diversos,CIEL3,CIELO,ON NM,1095462329,0.296,3.341
15/07/24,Mats Básicos / Madeira e Papel,DXCO3,DEXCO,ON NM,302768240,0.103,2.512
15/07/24,Mats Básicos / Madeira e Papel,KLBN11,KLABIN S/A,UNT N2,777422123,0.769,2.512
15/07/24,Mats Básicos / Madeira e Papel,SUZB3,SUZANO S.A.,ON NM,664114223,1.640,2.512
15/07/24,Mats Básicos / Mineração,BRAP4,BRADESPAR,PN N1,250992819,0.228,13.667
15/07/24,Mats Básicos / Mineração,CMIN3,CSNMINERACAO,ON N2,1110559345,0.287,13.667
15/07/24,Mats Básicos / Mineração,VALE3,VALE,ON NM,4427123466,13.152,13.667
15/07/24,Mats Básicos / Químicos,BRKM5,BRASKEM,PNA N1,265877867,0.244,0.244
15/07/24,Mats Básicos / Sid Metalurgia,GGBR4,GERDAU,PN N1,1246339197,1.075,1.985
15/07/24,Mats Básicos / Sid Metalurgia,GOAU4,GERDAU MET,PN N1,660411219,0.335,1.985
15/07/24,Mats Básicos / Sid Metalurgia,CSNA3,SID NACIONAL,ON,600865451,0.379,1.985
15/07/24,Mats Básicos / Sid Metalurgia,USIM5,USIMINAS,PNA N1,515117391,0.196,1.985
15/07/24,Petróleo. Gás e Biocombustíveis,RRRP3,3R PETROLEUM,ON NM,238441689,0.311,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,CSAN3,COSAN,ON NM,1168966848,0.788,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,PETR3,PETROBRAS,ON N2,2150495108,4.151,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,PETR4,PETROBRAS,PN N2,4566445852,8.225,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,RECV3,PETRORECSA,ON NM,275166463,0.273,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,PRIO3,PETRORIO,ON NM,804019521,1.731,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,RAIZ4,RAIZEN,PN N2,1210920604,0.176,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,UGPA3,ULTRAPAR,ON NM,1087228062,1.165,18.017
15/07/24,Petróleo. Gás e Biocombustíveis,VBBR3,VIBRA,ON NM,1114613709,1.197,18.017
15/07/24,Saúde/Comércio Distr.,HYPE3,HYPERA,ON NM,409490388,0.570,2.127
15/07/24,Saúde/Comércio Distr.,RADL3,RAIADROGASIL,ON EJ NM,1280079284,1.557,2.127
15/07/24,Saúde/SM Hosp An.Diag,FLRY3,FLEURY,ON NM,240822651,0.177,2.587
15/07/24,Saúde/SM Hosp An.Diag,HAPV3,HAPVIDA,ON NM,4394332306,0.846,2.587
15/07/24,Saúde/SM Hosp An.Diag,RDOR3,REDE D OR,ON NM,1144776793,1.564,2.587
15/07/24,Tec.Informação/Programas Servs,LWSA3,LWSA,ON NM,428737358,0.093,0.804
15/07/24,Tec.Informação/Programas Servs,TOTS3,TOTVS,ON NM,514122351,0.711,0.804
15/07/24,Telecomunicação,VIVT3,TELEF BRASIL,ON,408343528,0.954,1.601
15/07/24,Telecomunicação,TIMS3,TIM,ON NM,807896814,0.647,1.601
15/07/24,Utilidade Públ / Água Saneamento,SBSP3,SABESP,ON NM,340001799,1.335,1.335
15/07/24,Utilidade Públ / Energ Elétrica,CMIG4,CEMIG,PN N1,1868640510,0.942,11.215
15/07/24,Utilidade Públ / Energ Elétrica,CPLE6,COPEL,PNB N2,1679233590,0.811,11.215
15/07/24,Utilidade Públ / Energ Elétrica,CPFE3,CPFL ENERGIA,ON NM,187732538,0.300,11.215
15/07/24,Utilidade Públ / Energ Elétrica,ELET3,ELETROBRAS,ON N1,1945040784,3.591,11.215
15/07/24,Utilidade Públ / Energ Elétrica,ELET6,ELETROBRAS,PNB N1,268733136,0.550,11.215
15/07/24,Utilidade Públ / Energ Elétrica,ENGI11,ENERGISA,UNT N2,326265871,0.747,11.215
15/07/24,Utilidade Públ / Energ Elétrica,ENEV3,ENEVA,ON NM,1579630820,0.999,11.215
15/07/24,Utilidade Públ / Energ Elétrica,EGIE3,ENGIE BRASIL,ON NM,255236961,0.562,11.215
15/07/24,Utilidade Públ / Energ Elétrica,EQTL3,EQUATORIAL,ON NM,1155467134,1.864,11.215
15/07/24,Utilidade Públ / Energ Elétrica,TAEE11,TAESA,UNT N2,218568234,0.364,11.215
15/07/24,Utilidade Públ / Energ Elétrica,TRPL4,TRAN PAULIST,PN N1,395801044,0.485,11.215

Quantidade Teórica Total,95381185532,100000,100000
Redutor,1643123156745229,
